country,province_state_region,cultural_norm_etiquette,language,major_ed,major_e_name,food_culture,important_sites,religious_practices,taboos
Philippines,Romblon,"Hospitality and eco-friendly practices","Romblomanon, Tagalog",16/01/2024,Binatbatan Festival,"Marble-inspired desserts, seafood dishes","Marble Quarries, Bonbon Beach","Roman Catholicism with eco-friendly devotions","Avoid taking marble or damaging natural resources"
Philippines,Samar,"Warmth in family gatherings and community festivals","Waray-Waray",15/05/2024,Parayan Festival,"Binagol (sweet taro dessert), moron (sticky rice roll)","Sohoton Natural Bridge, San Juanico Bridge","Roman Catholicism with Waray traditions","Avoid loud behavior near sacred sites"
Philippines,Sarangani,"Emphasis on respect for nature and diverse cultures","Cebuano, Blaan",28/11/2024,MunaTo Festival,"Seafood dishes, kinilaw (ceviche)","Gumasa Beach, Sarangani Bay","Roman Catholicism and indigenous traditions","Avoid fishing in protected marine areas"
Philippines,Shariff Kabunsuan,"Strong Islamic traditions and hospitality","Maguindanaon, Cebuano",19/12/2024,Shariff Kabunsuan Festival,"Tiyula itum (black soup), pastil (rice with toppings)","Blue Lagoon, Rio Grande de Mindanao","Predominantly Islam with cultural influences","Avoid inappropriate attire in mosques or cultural events"
Philippines,Siquijor,"Hospitality and mystical traditions","Cebuano, Tagalog",29/09/2024,Dilaab Festival,"Torta (local cake), budbud (sticky rice dessert)","Cambugahay Falls, Salagdoong Beach","Roman Catholicism with mystical traditions","Avoid making fun of local healing practices or beliefs in magic"
Philippines,Sorsogon,"Community-centered values and eco-tourism consciousness","Bicolano",21/06/2024,Kadagang Festival,"Laing (taro leaves in coconut milk), pinangat","Mount Bulusan, Donsol (whale shark interaction)","Roman Catholicism with eco-focused activities","Avoid harming marine life, especially whale sharks"
Philippines,South Cotabato,"Respect for cultural diversity and agricultural pride","Hiligaynon, Cebuano",11/07/2024,T'nalak Festival,"Chicken inasal (grilled chicken), tilapia dishes","Lake Sebu, Seven Falls","Roman Catholicism with indigenous T'boli traditions","Avoid touching T'boli artifacts or attire without permission"
Philippines,Southern Leyte,"Hospitality and community pride","Waray-Waray, Cebuano",15/03/2024,Solo Festival,"Binagol (taro dessert), sweet potato-based dishes","Maasin Cathedral, Limasawa Island","Roman Catholicism with rural traditions","Avoid littering in eco-tourism areas"
Philippines,Sultan Kudarat,"Strong sense of community and cultural pride","Maguindanaon, Hiligaynon",22/11/2024,Kalimudan Festival,"Buko salad, seafood dishes","Baras Bird Sanctuary, Sultan Kudarat Provincial Capitol","Roman Catholicism and Islam with local traditions","Avoid discussing sensitive cultural or religious topics"
Philippines,Sulu,"Deep respect for Islamic traditions and family unity","Tausug, Tagalog",19/06/2024,Pakangguhan Festival,"Tiulah itum (spicy black beef soup), latal (assorted Tausug dishes)","Pearl Farm Beach, Jolo Cathedral","Predominantly Islam with Tausug traditions","Avoid entering mosques without proper attire or permission"
Philippines,Surigao del Norte,"Eco-tourism consciousness and warmth in family gatherings","Surigaonon, Cebuano",14/08/2024,Bonok-Bonok Maradjaw Karadjaw Festival,"Kinilaw (ceviche), dried fish","Siargao Island, Sohoton Cove","Roman Catholicism with eco-focused celebrations","Avoid littering on beaches or marine areas"
Philippines,Surigao del Sur,"Community pride and eco-conscious practices","Surigaonon, Cebuano",18/09/2024,Kagayhaan Festival,"Seafood dishes, sweet potato-based snacks","Tinuy-an Falls, Britania Islands","Roman Catholicism with eco-focused traditions","Avoid disrupting local eco-tourism activities"
Philippines,Tarlac,"Hospitality and culinary diversity","Kapampangan, Tagalog",01/01/2024,Malaueg Festival,"Kare-kare (peanut stew), iniruban (black rice cake)","Monasterio de Tarlac, Capas National Shrine","Roman Catholicism with local culinary-focused celebrations","Avoid discussing sensitive historical topics without understanding"
Philippines,Tawi-Tawi,"Respect for Islamic traditions and community ties","Tausug, Sama-Bajau",21/09/2024,Agal-Agal Festival,"Seaweed-based dishes, seafood curries","Bongao Peak, Sheik Karim-ul Makhdum Mosque","Predominantly Islam with Sama-Bajau influences","Avoid discussing religious differences or offending Islamic practices"
Philippines,Zambales,"Warm hospitality and beach-focused tourism","Tagalog, Sambal",25/04/2024,Dinamulag Mango Festival,"Mango-based dishes, grilled seafood","Anawangin Cove, Mount Pinatubo","Roman Catholicism with coastal traditions","Avoid littering or damaging natural areas"
Philippines,Zamboanga del Norte,"Generosity and cultural pride","Chavacano, Cebuano",23/05/2024,Hudyaka Festival,"Curacha (spiced crab), satay dishes","Dipolog Cathedral, Dakak Park and Beach Resort","Roman Catholicism with Chavacano influences","Avoid criticizing local food or cultural practices"
Philippines,Zamboanga del Sur,"Diversity and warmth in family gatherings","Chavacano, Subanen",16/09/2024,Megayon Festival,"Satti (spiced skewered meat), sweet rice snacks","Pagadian Rotonda, Mount Timolan","Roman Catholicism with Subanen traditions","Avoid entering indigenous areas without permission"
Philippines,Zamboanga Sibugay,"Respect for traditions and eco-tourism focus","Chavacano, Cebuano",01/12/2024,Sibug-Sibug Festival,"Seafood dishes, coconut-based recipes","Buluan Island, Sibugay Mountain Range","Roman Catholicism with local traditions","Avoid harming marine life in protected areas"
